request,response,infra.grpc.handler,QueryCard,"verifyCard: match cardNo local, <:cardNo:> <:transactionID:> <:spanID:>","CardQuery <:*:> channel, <:cardNo:> <:transactionID:> <:spanID:>",call by <:*:> fn:QueryCard call cost:<:NUM:> <:traceID:> <:transactionID:> <:spanID:>,CardQuery <:*:> <:<:resp:>,"verifyCardLocal: s.dao.GetCard failed, err=sql: no rows in result set <:traceID:> <:transactionID:> <:spanID:>","verifyCard: match cardNo by channel, <:cardNo:> valid=<:STATUS:>, <:cardBin:>",verifyCard: <:cardNo:> Yrouter:<:STATUS:> <:traceID:> <:transactionID:> <:spanID:>,verifyCard: <:cardNo:> <:<:resp:>,need retry pre call <:*:> err:card is invalid <:traceID:> <:transactionID:> <:spanID:>,sendPostRequest huaDao <:<:resp:>,"s.MatchByNameAndNo failed, errCode=<:NUM:>, <:cardNo:> <:*:> <:traceID:> <:transactionID:> <:spanID:>",<:ChineseInfo:>，cardNo:<:SEQ:> <:resp:>,buildBinMap: get bins count=<:NUM:>,syncCardBin: get card bin <:MAP:>,huaDaoCardQuery <:*:> err:&{<:NUM:> <:ChineseInfo:>} <:traceID:> <:transactionID:> <:spanID:>,timestamp,unknown
3873,3873,1446,1812,1032,477,477,477,297,297,297,297,225,69,51,30,36,36,15,2023-09-01 16:20:41,0
3876,3876,1548,1815,1095,366,366,366,354,354,354,354,15,54,3,3,36,36,0,2023-09-01 16:22:41,0
3888,3888,1590,1947,1161,423,423,423,351,351,351,351,90,66,30,0,36,36,18,2023-09-01 16:24:41,24
3882,3882,1794,2001,1287,366,366,366,342,342,342,342,30,51,9,0,36,36,0,2023-09-01 16:26:41,12
3903,3903,1995,2277,1524,381,378,378,369,369,369,366,15,39,3,0,36,36,3,2023-09-01 16:28:41,0
3816,3816,1935,2259,1446,411,414,414,387,387,387,390,30,48,18,3,36,36,3,2023-09-01 16:30:41,24
3858,3858,1701,1884,1230,327,327,327,327,327,327,327,0,42,0,0,36,36,0,2023-09-01 16:32:41,0
3879,3879,1953,2277,1515,393,393,393,369,369,369,369,30,42,6,6,36,36,0,2023-09-01 16:34:41,0
3882,3882,1728,2013,1209,402,402,402,402,402,402,402,0,60,0,0,36,36,0,2023-09-01 16:36:41,0
3822,3822,2016,2382,1602,426,423,423,354,354,354,351,90,57,18,3,36,36,15,2023-09-01 16:38:41,0
3888,3888,675,723,426,144,147,147,132,132,132,135,15,21,15,3,36,36,0,2023-09-01 16:40:41,24
3873,3873,228,246,90,84,84,84,60,60,60,60,30,9,18,0,36,36,6,2023-09-01 16:42:41,24
3885,3885,1032,1290,783,372,369,369,120,120,120,117,315,66,81,48,36,36,6,2023-09-01 16:44:41,9
3888,3888,522,1461,159,999,1002,1002,267,267,267,270,915,192,216,144,36,36,39,2023-09-01 16:46:41,6
3900,3900,1851,2070,1434,312,312,312,312,312,312,312,0,60,12,0,36,36,0,2023-09-01 16:48:41,24
3885,3885,1911,2244,1398,423,423,423,423,423,423,423,0,33,0,0,36,36,0,2023-09-01 16:50:41,0
3780,3780,1641,1908,1200,345,345,345,345,345,345,345,0,36,12,0,36,36,0,2023-09-01 16:52:41,24
3879,3879,1773,2007,1362,321,318,318,315,315,315,312,6,45,12,0,36,36,0,2023-09-01 16:54:41,24
3885,3885,1914,2115,1494,309,312,312,309,309,309,312,0,63,0,0,36,36,0,2023-09-01 16:56:41,0
3915,3915,1815,2022,1389,318,315,315,318,318,318,315,0,57,0,0,36,36,0,2023-09-01 16:58:41,0
3867,3867,1626,1914,1212,342,345,345,342,342,342,345,0,45,12,0,36,36,0,2023-09-01 17:00:41,24
3819,3819,1623,1854,1155,348,348,348,348,348,348,348,0,30,0,0,36,36,0,2023-09-01 17:02:41,0
3873,3873,1950,2187,1500,333,333,333,318,318,318,318,18,48,39,3,36,36,3,2023-09-01 17:04:41,72
3882,3882,1662,1896,1272,318,318,318,306,306,306,306,15,45,3,0,36,36,3,2023-09-01 17:06:41,0
3876,3876,291,282,123,78,78,78,78,78,78,78,0,15,0,0,36,36,0,2023-09-01 17:08:41,0
3888,3888,417,438,234,108,105,105,96,96,96,93,15,6,3,0,36,36,3,2023-09-01 17:10:41,0
3801,3801,468,1008,111,684,687,687,180,180,180,183,630,135,150,102,36,36,18,2023-09-01 17:12:41,6
3900,3900,1044,1683,549,768,768,768,300,300,300,300,585,141,180,84,36,36,30,2023-09-01 17:14:41,75
3885,3885,1836,2052,1377,345,342,342,333,333,333,330,15,45,3,3,36,36,0,2023-09-01 17:16:41,0
3891,3891,1986,2295,1497,402,405,405,378,378,378,381,30,72,18,0,36,36,6,2023-09-01 17:18:41,24
3801,3801,1845,2067,1386,330,330,330,327,327,327,327,3,33,24,3,36,36,0,2023-09-01 17:20:41,48
3870,3870,1620,1818,1236,291,291,291,279,279,279,279,15,42,15,3,36,36,0,2023-09-01 17:22:41,24
3885,3885,1698,1881,1164,297,297,297,297,297,297,297,0,30,120,0,36,36,0,2023-09-01 17:24:41,240
3894,3894,1986,2262,1488,375,375,375,363,363,363,363,15,57,39,0,36,36,3,2023-09-01 17:26:41,72
3822,3822,1803,2028,1365,312,312,312,312,312,312,312,0,36,36,0,36,36,0,2023-09-01 17:28:41,72
3870,3870,1773,2010,1227,399,396,396,384,384,384,381,18,39,3,3,36,36,3,2023-09-01 17:30:41,0
3876,3876,1812,1980,1272,339,342,342,339,339,339,342,0,39,24,0,36,36,0,2023-09-01 17:32:41,48
3888,3888,1770,1941,1287,321,318,318,321,321,321,318,0,36,12,0,36,36,0,2023-09-01 17:34:41,24
3888,3888,1164,1272,858,201,204,204,198,198,198,201,3,30,12,3,36,36,0,2023-09-01 17:36:41,24
3900,3900,321,267,99,66,66,66,66,66,66,66,0,9,36,0,36,36,0,2023-09-01 17:38:41,72
3777,3777,258,285,87,105,105,105,81,81,81,81,30,6,9,0,36,36,0,2023-09-01 17:40:41,12
3885,3885,477,1341,84,969,966,966,237,237,237,234,915,192,234,150,36,36,27,2023-09-01 17:42:41,30
3882,3882,1449,1911,1026,567,570,570,291,291,291,294,345,90,93,39,36,36,30,2023-09-01 17:44:41,24
3885,3885,1581,1812,1185,315,312,312,312,312,312,309,3,45,0,3,36,36,0,2023-09-01 17:46:41,0
3900,3900,1998,2259,1560,348,351,351,336,336,336,339,15,27,15,0,36,36,0,2023-09-01 17:48:41,27
3807,3807,1884,2124,1467,330,327,327,324,330,330,327,0,36,0,0,36,36,0,2023-09-01 17:50:41,6
3870,3870,1902,2100,1527,297,300,300,273,273,273,276,30,30,6,6,36,36,0,2023-09-01 17:52:41,0
3888,3888,1896,2082,1491,285,282,282,285,285,285,282,0,36,24,0,36,36,0,2023-09-01 17:54:41,48
3888,3888,1854,2118,1434,339,342,342,339,339,339,342,0,24,0,0,36,36,0,2023-09-01 17:56:41,0
3906,3906,1623,1695,1125,237,237,237,237,237,237,237,0,42,96,0,36,36,0,2023-09-01 17:58:41,192
3765,3765,279,252,132,66,66,66,54,54,54,54,15,12,3,3,36,36,0,2023-09-01 18:00:41,0
3891,3891,210,126,42,39,39,39,39,39,39,39,0,6,0,0,36,36,0,2023-09-01 18:02:41,0
3888,3888,465,1260,87,870,867,864,234,234,234,231,792,165,231,132,36,36,21,2023-09-01 18:04:41,96
3888,3888,1116,1617,744,582,585,582,264,264,264,267,393,96,93,60,36,36,24,2023-09-01 18:06:41,18
3897,3897,1812,1989,1434,273,270,270,273,273,273,270,0,30,12,0,36,36,0,2023-09-01 18:08:41,24
3804,3804,2037,2313,1665,327,330,330,315,315,315,318,15,36,3,0,36,36,3,2023-09-01 18:10:41,0
3873,3873,1986,2211,1566,321,321,321,321,321,321,321,0,39,0,0,36,36,0,2023-09-01 18:12:41,0
3903,3903,1896,2115,1515,300,300,300,300,300,300,300,0,42,0,0,36,36,0,2023-09-01 18:14:41,0
3867,3867,1791,2046,1407,318,318,318,318,318,318,318,0,39,0,0,36,36,0,2023-09-01 18:16:41,0
3894,3894,1731,1896,1284,300,300,300,300,300,300,300,0,18,12,0,36,36,0,2023-09-01 18:18:41,24
3879,3879,1341,1455,1065,195,195,195,195,195,195,195,0,24,0,0,36,36,0,2023-09-01 18:20:41,0
3798,3798,264,237,93,84,84,84,60,60,60,60,30,9,6,3,36,36,3,2023-09-01 18:22:41,0
3888,3888,177,102,36,33,33,33,33,33,33,33,0,3,0,0,36,36,0,2023-09-01 18:24:41,0
3885,3885,411,1212,84,867,864,864,225,225,225,222,801,174,195,129,36,36,24,2023-09-01 18:26:41,6
3909,3909,1065,1557,654,594,597,597,276,276,276,279,399,102,108,57,36,36,24,2023-09-01 18:28:41,24
3876,3876,1956,2238,1584,333,333,333,321,321,321,321,15,45,3,3,36,36,0,2023-09-01 18:30:41,0
3786,3786,1932,2151,1551,300,300,300,300,300,300,300,0,42,0,0,36,36,0,2023-09-01 18:32:41,0
3888,3888,1830,2019,1455,282,282,282,282,282,282,282,0,36,0,0,36,36,0,2023-09-01 18:34:41,0
3885,3885,1503,1686,1170,258,258,258,258,258,258,258,0,21,0,0,36,36,0,2023-09-01 18:36:41,0
3903,3903,1884,2067,1428,312,312,312,300,300,300,300,15,45,27,0,36,36,3,2023-09-01 18:38:41,48
3873,3873,1548,1767,1161,303,303,303,303,303,303,303,0,42,0,0,36,36,0,2023-09-01 18:40:41,0
3801,3801,624,711,378,186,183,183,150,150,150,147,42,27,6,0,36,36,9,2023-09-01 18:42:41,0
3897,3897,231,240,69,114,117,117,54,54,54,57,78,27,18,0,36,36,15,2023-09-01 18:44:41,0
3870,3870,198,309,39,177,174,174,66,66,66,63,138,30,54,18,36,36,9,2023-09-01 18:46:41,48
3897,3897,405,1419,63,1071,1068,1068,243,243,243,240,1032,207,249,156,36,36,45,2023-09-01 18:48:41,6
3804,3804,1623,1944,1233,408,414,414,291,291,291,297,150,69,36,15,36,36,15,2023-09-01 18:50:41,0
3870,3870,1599,1842,1197,354,354,354,282,282,282,282,90,63,30,0,36,36,18,2023-09-01 18:52:41,24
3879,3879,1497,1599,1140,234,231,231,222,222,222,219,15,30,3,0,36,36,3,2023-09-01 18:54:41,0
3888,3888,1551,1713,1077,321,324,324,297,297,297,300,30,48,18,0,36,36,6,2023-09-01 18:56:41,24
3891,3891,1677,1839,1296,270,270,270,270,270,270,270,0,21,0,0,36,36,0,2023-09-01 18:58:41,0
3900,3900,1515,1677,1164,255,255,255,255,255,255,255,0,24,0,0,36,36,0,2023-09-01 19:00:41,0
3780,3780,1464,1683,1059,312,312,312,312,312,312,312,0,39,0,0,36,36,0,2023-09-01 19:02:41,0
3888,3888,1554,1746,1200,267,267,267,267,267,267,267,0,33,12,0,36,36,0,2023-09-01 19:04:41,24
3885,3885,1533,1731,1167,282,282,282,282,282,282,282,0,30,0,0,36,36,0,2023-09-01 19:06:41,6
3894,3894,1311,1518,984,267,267,267,267,267,267,267,0,24,0,0,36,36,0,2023-09-01 19:08:41,0
3885,3885,1398,1587,1026,279,279,279,279,279,279,279,0,33,0,0,36,36,0,2023-09-01 19:10:41,0
3804,3804,408,381,225,72,72,72,72,72,72,72,0,6,12,0,36,36,0,2023-09-01 19:12:41,24
3894,3894,102,78,36,21,21,21,21,21,21,21,0,6,0,0,36,36,0,2023-09-01 19:14:41,0
3876,3876,300,528,51,345,342,342,117,117,117,114,285,57,75,45,36,36,6,2023-09-01 19:16:41,6
3915,3915,627,1497,201,975,975,975,249,249,249,249,906,195,249,144,36,36,39,2023-09-01 19:18:41,72
3873,3873,1482,1722,1143,288,291,291,288,288,288,291,0,21,0,0,36,36,0,2023-09-01 19:20:41,0
3789,3789,1566,1740,1212,258,258,258,258,258,258,258,0,45,12,0,36,36,0,2023-09-01 19:22:41,24
3882,3882,1362,1527,1047,240,240,240,240,240,240,240,0,48,0,0,36,36,0,2023-09-01 19:24:41,0
3882,3882,1467,1611,1131,240,240,240,240,240,240,240,0,24,0,0,36,36,0,2023-09-01 19:26:41,0
3909,3909,1515,1692,1089,309,306,306,297,297,297,294,15,30,3,3,36,36,0,2023-09-01 19:28:41,0
3873,3873,1272,1479,924,273,276,276,273,273,273,276,0,36,0,0,36,36,0,2023-09-01 19:30:41,0
3873,3873,1488,1665,1107,267,267,267,267,267,267,267,0,30,24,0,36,36,0,2023-09-01 19:32:41,48
3816,3816,1707,1947,1338,306,303,303,306,306,306,303,0,36,0,0,36,36,0,2023-09-01 19:34:41,0
3879,3879,1374,1584,1011,273,276,276,273,273,273,276,0,18,24,0,36,36,0,2023-09-01 19:36:41,48
3900,3900,159,117,45,36,36,36,36,36,36,36,0,0,0,0,36,36,0,2023-09-01 19:38:41,0
3879,3879,171,111,42,33,33,33,33,33,33,33,0,6,0,0,36,36,0,2023-09-01 19:40:41,0
3882,3882,255,825,27,627,624,624,153,153,153,150,591,123,138,96,36,36,15,2023-09-01 19:42:41,6
3885,3885,831,1482,480,723,723,723,249,249,249,249,594,144,150,90,36,36,30,2023-09-01 19:44:41,0
3795,3795,1545,1722,1182,270,273,273,267,267,267,270,3,54,0,3,36,36,0,2023-09-01 19:46:41,0
3897,3897,1713,1881,1353,264,264,264,264,264,264,264,0,42,0,0,36,36,0,2023-09-01 19:48:41,0
3885,3885,1656,1905,1263,321,321,321,321,321,321,321,0,36,0,0,36,36,0,2023-09-01 19:50:41,0
3882,3882,1710,1947,1341,303,303,303,300,300,300,300,3,30,0,3,36,36,0,2023-09-01 19:52:41,0
3789,3789,1569,1806,1224,291,291,291,291,291,291,291,0,33,0,0,36,36,0,2023-09-01 19:54:41,0
3882,3882,1293,1533,963,279,279,279,279,279,279,279,0,30,12,0,36,36,0,2023-09-01 19:56:41,24
3888,3888,450,414,234,90,90,90,90,90,90,90,0,15,0,0,36,36,0,2023-09-01 19:58:41,0
3903,3903,117,78,42,18,18,18,18,18,18,18,0,0,0,0,36,36,0,2023-09-01 20:00:41,0
3873,3873,210,405,36,276,273,273,81,81,81,78,243,51,60,36,36,36,6,2023-09-01 20:02:41,6
3876,3876,993,2205,369,1275,1278,1278,519,519,519,522,945,237,228,153,36,36,39,2023-09-01 20:04:41,0
3828,3828,2475,3150,1716,717,717,717,717,717,717,717,0,96,0,0,36,36,0,2023-09-01 20:06:41,0
3903,3903,1719,1923,1377,279,279,279,267,267,267,267,15,30,3,3,36,36,0,2023-09-01 20:08:41,0
3876,3876,1731,2085,1335,399,399,399,351,351,351,351,60,69,12,0,36,36,12,2023-09-01 20:10:41,0
3867,3867,1761,2001,1368,315,315,315,315,315,315,315,0,39,0,0,36,36,0,2023-09-01 20:12:41,0
3888,3888,1617,1881,1230,327,327,327,324,324,324,324,3,48,0,3,36,36,0,2023-09-01 20:14:41,0
3819,3819,624,669,477,96,96,96,96,96,96,96,0,12,0,0,36,36,0,2023-09-01 20:16:41,0
3888,3888,1794,1905,1497,210,210,210,198,198,198,198,15,30,3,3,36,36,0,2023-09-01 20:18:41,0
3885,3885,189,273,66,150,147,147,57,57,57,54,114,33,24,18,36,36,6,2023-09-01 20:20:41,3
3873,3873,393,1341,36,1026,1026,1026,231,231,231,231,993,201,243,156,36,36,36,2023-09-01 20:22:41,6
3888,3888,1536,1827,1137,396,399,399,288,288,288,291,138,78,33,12,36,36,15,2023-09-01 20:24:41,0
3819,3819,1728,1989,1272,360,360,360,357,357,357,357,3,51,0,3,36,36,0,2023-09-01 20:26:41,0
3894,3894,1791,1989,1347,330,327,327,315,315,315,312,18,51,3,0,36,36,3,2023-09-01 20:28:41,0
3882,3882,1554,1818,1164,330,333,333,321,321,321,324,12,57,3,0,36,36,3,2023-09-01 20:30:41,0
3864,3864,1710,1908,1323,291,291,291,291,291,291,291,0,48,0,0,36,36,0,2023-09-01 20:32:41,0
3885,3885,1764,1980,1386,297,297,297,297,297,297,297,0,45,0,0,36,36,0,2023-09-01 20:34:41,0
3807,3807,1026,1140,786,183,183,183,171,171,171,171,15,21,3,0,36,36,3,2023-09-01 20:36:41,0
3888,3888,255,258,138,84,84,84,36,36,36,36,60,12,12,12,36,36,0,2023-09-01 20:38:41,0
3885,3885,186,165,78,48,48,48,36,36,36,36,15,3,3,3,36,36,0,2023-09-01 20:40:41,0
3879,3879,375,1248,30,954,951,951,210,210,210,207,930,186,243,150,36,36,30,2023-09-01 20:42:41,30
3882,3882,1110,1554,789,480,483,483,273,273,273,276,258,75,57,39,36,36,15,2023-09-01 20:44:41,0
3822,3822,1767,1974,1317,330,330,330,327,327,327,327,3,30,0,3,36,36,0,2023-09-01 20:46:41,0
3894,3894,1569,1842,1209,318,318,318,315,315,315,315,3,30,0,3,36,36,0,2023-09-01 20:48:41,0
3879,3879,1437,1647,1125,261,261,261,261,261,261,261,0,33,0,0,36,36,0,2023-09-01 20:50:41,0
3876,3876,1599,1839,1260,291,291,291,288,288,288,288,3,21,0,3,36,36,0,2023-09-01 20:52:41,0
3876,3876,1644,1824,1233,294,294,294,294,294,294,294,0,27,0,0,36,36,0,2023-09-01 20:54:41,0
3888,3888,1533,1776,1104,336,336,336,336,336,336,336,0,57,0,0,36,36,0,2023-09-01 20:56:41,0
3837,3837,1320,1488,990,249,249,249,249,249,249,249,0,39,0,0,36,36,0,2023-09-01 20:58:41,0
3876,3876,129,171,33,93,93,93,45,45,45,45,60,15,12,0,36,36,12,2023-09-01 21:00:41,0
3876,3876,162,99,27,33,33,33,33,33,33,33,0,6,0,0,36,36,0,2023-09-01 21:02:41,0
3888,3888,246,801,24,624,621,621,132,132,132,129,615,123,147,102,36,36,15,2023-09-01 21:04:41,6
3900,3900,891,1563,531,729,732,732,270,270,270,273,573,132,141,87,36,36,30,2023-09-01 21:06:41,0
3819,3819,1686,1914,1308,306,306,306,303,303,303,303,3,42,0,3,36,36,0,2023-09-01 21:08:41,0
3870,3870,1605,1827,1233,297,297,297,297,297,297,297,0,51,0,0,36,36,0,2023-09-01 21:10:41,0
3870,3870,1677,1926,1236,357,357,357,333,333,333,333,30,45,6,0,36,36,6,2023-09-01 21:12:41,0
3879,3879,1650,1881,1233,324,321,321,324,324,324,321,0,42,0,0,36,36,0,2023-09-01 21:14:41,0
3885,3885,1674,1911,1314,300,300,297,297,297,297,297,0,45,0,0,36,36,0,2023-09-01 21:16:41,12
3894,3894,1620,1809,1218,300,303,303,288,288,288,291,15,42,3,3,36,36,0,2023-09-01 21:18:41,0
3813,3813,1497,1809,1092,363,360,360,357,357,357,354,6,48,0,3,36,36,0,2023-09-01 21:20:41,0
3882,3882,1068,1233,756,240,243,243,234,234,234,237,9,33,3,0,36,36,0,2023-09-01 21:22:41,0
3897,3897,126,108,27,39,39,39,39,39,39,39,0,0,0,0,36,36,0,2023-09-01 21:24:41,0
3870,3870,132,87,39,24,24,24,24,24,24,24,0,0,0,0,36,36,0,2023-09-01 21:26:41,0
3903,3903,345,1071,39,810,804,804,195,195,195,189,768,156,186,129,36,36,18,2023-09-01 21:28:41,6
3774,3774,957,1491,636,588,594,594,243,243,243,249,432,114,105,57,36,36,30,2023-09-01 21:30:41,0
3900,3900,1644,1887,1281,303,303,303,303,303,303,303,0,36,0,0,36,36,0,2023-09-01 21:32:41,0
3888,3888,1638,1923,1236,342,342,342,342,342,342,342,0,36,0,0,36,36,0,2023-09-01 21:34:41,0
3882,3882,1617,1896,1233,330,330,330,330,330,330,330,0,36,0,0,36,36,0,2023-09-01 21:36:41,0
3888,3888,1839,2112,1482,315,315,315,315,315,315,315,0,39,0,0,36,36,0,2023-09-01 21:38:41,0
3783,3783,1680,1959,1257,351,351,351,351,351,351,351,0,39,0,0,36,36,0,2023-09-01 21:40:41,0
3879,3879,1608,1875,1224,324,324,324,324,324,324,324,0,39,0,0,36,36,0,2023-09-01 21:42:41,0
3885,3885,1515,1770,1110,330,330,330,330,330,330,330,0,33,0,0,36,36,0,2023-09-01 21:44:41,0
3888,3888,1860,2103,1533,285,285,285,285,285,285,285,0,33,0,0,36,36,0,2023-09-01 21:46:41,0
3897,3897,855,975,627,174,174,174,174,174,174,174,0,36,0,0,36,36,0,2023-09-01 21:48:41,0
3816,3816,105,87,57,15,15,15,15,15,15,15,0,3,0,0,36,36,0,2023-09-01 21:50:41,0
3885,3885,108,120,39,60,57,57,24,24,24,21,45,9,9,3,36,36,6,2023-09-01 21:52:41,0
3864,3864,339,1287,30,993,993,993,219,219,219,219,966,195,237,159,36,36,30,2023-09-01 21:54:41,6
3906,3906,1296,1692,972,435,438,438,273,273,273,276,204,72,48,24,36,36,15,2023-09-01 21:56:41,0
3888,3888,1461,1701,1080,312,309,309,312,312,312,309,0,21,0,0,36,36,0,2023-09-01 21:58:41,0
3813,3813,1665,1935,1284,324,327,327,324,324,324,327,0,36,0,0,36,36,0,2023-09-01 22:00:41,0
3876,3876,1605,1839,1167,336,336,336,336,336,336,336,0,27,0,0,36,36,0,2023-09-01 22:02:41,0
3885,3885,1737,1956,1374,291,291,291,291,291,291,291,0,54,0,0,36,36,0,2023-09-01 22:04:41,0
3885,3885,1560,1758,1209,273,273,273,273,273,273,273,0,27,0,0,36,36,0,2023-09-01 22:06:41,0
3894,3894,1788,2022,1395,315,312,312,315,315,315,312,0,48,0,0,36,36,0,2023-09-01 22:08:41,0
3879,3879,1671,1890,1323,282,285,285,282,282,282,285,0,48,0,0,36,36,0,2023-09-01 22:10:41,0
3813,3813,1758,2028,1368,330,330,330,330,330,330,330,0,30,0,0,36,36,0,2023-09-01 22:12:41,0
3879,3879,1971,2160,1626,267,267,267,267,267,267,267,0,36,0,0,36,36,0,2023-09-01 22:14:41,0
3879,3879,1851,2085,1509,288,288,288,285,285,285,285,3,42,0,3,36,36,0,2023-09-01 22:16:41,0
3897,3897,1671,1914,1275,321,321,321,318,318,318,318,3,45,0,3,36,36,0,2023-09-01 22:18:41,0
3807,3807,1224,1434,942,246,246,246,246,246,246,246,0,21,0,0,36,36,0,2023-09-01 22:20:41,0
3900,3900,69,42,18,12,12,12,12,12,12,12,0,6,0,0,36,36,0,2023-09-01 22:22:41,0
3882,3882,69,36,12,12,12,12,12,12,12,12,0,0,0,0,36,36,0,2023-09-01 22:24:41,0
3876,3876,249,963,27,741,738,738,165,165,165,162,720,147,177,123,36,36,15,2023-09-01 22:26:41,6
3906,3906,1107,1722,747,669,669,669,285,285,285,285,480,108,114,66,36,36,30,2023-09-01 22:28:41,0
3876,3876,1758,1980,1416,282,282,282,282,282,282,282,0,36,0,0,36,36,0,2023-09-01 22:30:41,0
3876,3876,1638,1935,1254,351,354,354,327,327,327,330,30,51,6,0,36,36,6,2023-09-01 22:32:41,0
3801,3801,1572,1824,1206,309,309,309,309,309,309,309,0,48,0,0,36,36,0,2023-09-01 22:34:41,0
3885,3885,1779,2058,1449,306,303,303,306,306,306,303,0,48,0,0,36,36,0,2023-09-01 22:36:41,0
3897,3897,1731,1938,1338,297,300,300,297,297,297,300,0,39,0,0,36,36,0,2023-09-01 22:38:41,0
3879,3879,1893,2142,1566,288,288,288,288,288,288,288,0,48,0,0,36,36,0,2023-09-01 22:40:41,0
3813,3813,1791,1995,1434,282,279,279,282,282,282,279,0,39,0,0,36,36,0,2023-09-01 22:42:41,0
3864,3864,1839,2091,1479,306,309,309,303,303,303,306,3,57,0,3,36,36,0,2023-09-01 22:44:41,0
3885,3885,1692,1941,1341,294,294,294,294,294,294,294,0,30,12,0,36,36,0,2023-09-01 22:46:41,24
3912,3912,1899,2133,1521,306,306,306,306,306,306,306,0,33,0,0,36,36,0,2023-09-01 22:48:41,0
3873,3873,1497,1626,1161,231,231,231,231,231,231,231,0,18,0,0,36,36,0,2023-09-01 22:50:41,0
3882,3882,93,27,9,9,9,9,9,9,9,9,0,0,0,0,36,36,0,2023-09-01 22:52:41,0
3789,3789,99,54,18,18,18,18,18,18,18,18,0,0,0,0,36,36,0,2023-09-01 22:54:41,0
3888,3888,240,891,21,687,684,684,156,156,156,153,663,135,162,111,36,36,15,2023-09-01 22:56:41,6
3909,3909,957,1566,621,672,675,675,249,249,249,252,528,123,126,81,36,36,30,2023-09-01 22:58:41,0
3879,3879,1758,2016,1419,297,297,297,297,297,297,297,0,33,0,0,36,36,0,2023-09-01 23:00:41,0
3786,3786,1746,1998,1404,297,297,297,297,297,297,297,0,21,0,0,36,36,0,2023-09-01 23:02:41,0
3888,3888,2058,2334,1656,351,351,351,327,327,327,327,30,57,6,0,36,36,0,2023-09-01 23:04:41,6
3888,3888,2049,2304,1668,330,330,330,306,306,306,306,30,75,6,6,36,36,0,2023-09-01 23:06:41,0
3915,3915,2316,2556,1950,309,309,309,297,297,297,297,15,30,3,3,36,36,0,2023-09-01 23:08:41,0
3873,3873,1884,2145,1545,300,300,300,297,297,297,297,3,51,0,3,36,36,0,2023-09-01 23:10:41,0
3864,3864,2127,2394,1809,294,291,291,294,294,294,291,0,45,0,0,36,36,0,2023-09-01 23:12:41,0
3885,3885,1839,2079,1506,285,288,288,285,285,285,288,0,27,0,0,36,36,0,2023-09-01 23:14:41,0
3807,3807,1800,2064,1437,312,312,312,312,312,312,312,0,39,0,0,36,36,0,2023-09-01 23:16:41,0
3894,3894,1908,2133,1584,276,276,276,276,276,276,276,0,39,0,0,36,36,0,2023-09-01 23:18:41,0
3885,3885,1224,1296,972,162,162,162,162,162,162,162,0,24,0,0,36,36,0,2023-09-01 23:20:41,0
3879,3879,75,33,24,3,3,3,3,3,3,3,0,0,0,0,36,36,0,2023-09-01 23:22:41,0
3882,3882,66,30,6,12,12,12,12,12,12,12,0,0,0,0,36,36,0,2023-09-01 23:24:41,0
3798,3798,315,1191,21,927,924,924,207,207,207,204,900,183,219,147,36,36,27,2023-09-01 23:26:41,6
3888,3888,1635,2094,1320,495,498,498,264,264,264,267,288,90,69,42,36,36,18,2023-09-01 23:28:41,0
3888,3888,2253,2520,1932,294,294,294,294,294,294,294,0,39,0,0,36,36,0,2023-09-01 23:30:41,0
3885,3885,1929,2175,1554,309,309,309,309,309,309,309,0,39,0,0,36,36,0,2023-09-01 23:32:41,0
3873,3873,2085,2307,1767,270,270,270,270,270,270,270,0,36,0,0,36,36,0,2023-09-01 23:34:41,0
3822,3822,1803,2058,1470,294,294,294,294,294,294,294,0,42,0,0,36,36,0,2023-09-01 23:36:41,0
3897,3897,2298,2487,2001,243,243,243,243,243,243,243,0,36,0,0,36,36,0,2023-09-01 23:38:41,0
3879,3879,2211,2433,1917,258,258,258,258,258,258,258,0,33,0,0,36,36,0,2023-09-01 23:40:41,0
3876,3876,1902,2142,1581,279,279,279,279,279,279,279,0,18,0,0,36,36,0,2023-09-01 23:42:41,0
3882,3882,1755,1971,1467,252,252,252,252,252,252,252,0,30,0,0,36,36,0,2023-09-01 23:44:41,0
3810,3810,54,57,9,30,30,30,18,18,18,18,15,6,3,0,36,36,3,2023-09-01 23:46:41,0
3858,3858,72,36,12,12,12,12,12,12,12,12,0,3,0,0,36,36,0,2023-09-01 23:48:41,0
3915,3915,240,765,18,588,585,585,141,141,141,138,558,111,132,90,36,36,15,2023-09-01 23:50:41,6
3882,3882,1068,1761,747,741,744,744,240,240,240,243,627,132,156,96,36,36,30,2023-09-01 23:52:41,0
3882,3882,2286,2493,1986,258,258,258,246,246,246,246,15,18,3,0,36,36,3,2023-09-01 23:54:41,0
3888,3888,2241,2526,1920,303,303,303,303,303,303,303,0,36,0,0,36,36,0,2023-09-01 23:56:41,0
3801,3801,2175,2415,1839,288,288,288,288,288,288,288,0,57,0,0,36,36,0,2023-09-01 23:58:41,0
3897,3897,2166,2328,1854,243,243,243,231,231,231,231,15,48,3,3,36,36,0,2023-09-02 00:00:41,0
3873,3873,4068,4272,3759,258,258,258,255,255,255,255,3,24,0,3,36,36,0,2023-09-02 00:02:41,0
3885,3885,1497,1551,1338,105,105,105,105,105,105,105,0,15,0,0,36,36,0,2023-09-02 00:04:41,0
3885,3885,72,102,18,60,60,57,24,24,24,24,42,9,9,0,36,36,9,2023-09-02 00:06:41,18
