request,response,infra.grpc.handler,QueryCard,"verifyCard: match cardNo local, <:cardNo:> <:transactionID:> <:spanID:>","CardQuery <:*:> channel, <:cardNo:> <:transactionID:> <:spanID:>",call by <:*:> fn:QueryCard call cost:<:NUM:> <:traceID:> <:transactionID:> <:spanID:>,CardQuery <:*:> <:<:resp:>,"verifyCardLocal: s.dao.GetCard failed, err=sql: no rows in result set <:traceID:> <:transactionID:> <:spanID:>","verifyCard: match cardNo by channel, <:cardNo:> valid=<:STATUS:>, <:cardBin:>",verifyCard: <:cardNo:> Yrouter:<:STATUS:> <:traceID:> <:transactionID:> <:spanID:>,verifyCard: <:cardNo:> <:<:resp:>,need retry pre call <:*:> err:card is invalid <:traceID:> <:transactionID:> <:spanID:>,sendPostRequest huaDao <:<:resp:>,"s.MatchByNameAndNo failed, errCode=<:NUM:>, <:cardNo:> <:*:> <:traceID:> <:transactionID:> <:spanID:>",buildBinMap: get bins count=<:NUM:>,syncCardBin: get card bin <:MAP:>,<:ChineseInfo:>，cardNo:<:SEQ:> <:resp:>,huaDaoCardQuery <:*:> err:&{<:NUM:> <:ChineseInfo:>} <:traceID:> <:transactionID:> <:spanID:>,<:ChineseInfo:>，cardNo:<:NUM:> <:resp:>,timestamp,unknown
1289,1289,143,446,22,335,335,335,79,79,79,79,320,66,74,12,12,50,12,3,2023-11-13 19:18:48,0
1293,1293,227,505,112,312,313,313,73,73,73,74,299,60,67,12,12,47,8,4,2023-11-13 19:19:16,0
1292,1292,570,676,445,137,138,138,91,91,91,92,58,23,13,12,12,8,2,1,2023-11-13 19:20:48,0
1296,1296,599,675,458,110,110,110,106,106,106,106,5,17,1,12,12,0,1,0,2023-11-13 19:21:16,0
1296,1296,649,724,528,98,98,98,98,98,98,98,0,12,0,12,12,0,0,0,2023-11-13 19:22:48,0
1296,1296,642,712,513,99,99,99,99,99,99,99,0,12,0,12,12,0,0,0,2023-11-13 19:23:16,0
1305,1305,562,637,418,109,109,109,109,109,109,109,0,19,0,12,12,0,0,0,2023-11-13 19:24:48,0
1294,1294,577,654,449,103,102,102,103,103,103,102,0,18,0,12,12,0,0,0,2023-11-13 19:25:16,0
1259,1259,670,758,522,118,118,118,118,118,118,118,0,17,0,12,12,0,0,0,2023-11-13 19:26:48,0
1269,1269,666,752,519,116,117,117,116,116,116,117,0,16,0,12,12,0,0,0,2023-11-13 19:27:16,0
1295,1295,562,637,435,101,101,101,101,101,101,101,0,10,0,12,12,0,0,0,2023-11-13 19:28:48,0
1295,1295,555,633,421,106,106,106,106,106,106,106,0,9,0,12,12,0,0,0,2023-11-13 19:29:16,0
1296,1296,595,654,471,92,91,91,92,92,92,91,0,8,0,12,12,0,0,0,2023-11-13 19:30:48,0
1297,1297,578,637,453,92,92,92,92,92,92,92,0,9,0,12,12,0,0,0,2023-11-13 19:31:16,0
1299,1299,496,585,371,106,107,107,106,106,106,107,0,11,0,12,12,0,0,0,2023-11-13 19:32:48,0
1295,1295,521,611,402,104,104,104,104,104,104,104,0,10,0,12,12,0,0,0,2023-11-13 19:33:16,0
1279,1279,561,647,441,103,103,103,103,103,103,103,0,11,0,12,12,0,0,0,2023-11-13 19:34:48,0
1272,1272,527,612,416,98,98,98,98,98,98,98,0,12,0,12,12,0,0,0,2023-11-13 19:35:16,0
1291,1291,495,574,376,99,99,99,99,99,99,99,0,11,0,12,12,0,0,0,2023-11-13 19:36:48,0
1296,1296,517,595,385,105,105,105,105,105,105,105,0,13,0,12,12,0,0,0,2023-11-13 19:37:16,0
1290,1290,615,692,480,106,106,106,106,106,106,106,0,13,0,12,12,0,0,0,2023-11-13 19:38:48,0
1295,1295,628,717,493,116,116,116,108,108,108,108,10,16,2,12,12,1,1,0,2023-11-13 19:39:16,0
1296,1296,608,718,469,129,129,129,120,120,120,120,11,16,2,12,12,2,1,0,2023-11-13 19:40:48,0
1297,1297,579,680,447,117,117,117,116,116,116,116,1,10,0,12,12,1,0,0,2023-11-13 19:41:16,0
1298,1298,479,519,378,70,70,70,70,70,70,70,0,7,0,12,12,0,0,0,2023-11-13 19:42:48,0
1284,1284,370,383,288,47,47,47,47,47,47,47,0,6,0,12,12,0,0,0,2023-11-13 19:43:16,0
1294,1294,57,42,20,11,11,11,11,11,11,11,0,2,0,12,12,0,0,0,2023-11-13 19:44:48,0
1279,1279,72,54,24,15,15,15,15,15,15,15,0,2,0,12,12,0,0,0,2023-11-13 19:45:16,0
1269,1269,74,71,32,20,19,19,20,20,20,19,0,1,0,12,12,0,0,0,2023-11-13 19:46:48,0
1292,1292,58,74,30,26,26,26,18,18,18,18,10,3,2,12,12,0,2,0,2023-11-13 19:47:16,0
1291,1291,116,327,26,236,236,236,57,57,57,57,223,49,52,12,12,36,7,2,2023-11-13 19:48:48,0
1296,1296,137,422,24,311,310,310,75,75,75,74,295,63,72,12,12,48,9,2,2023-11-13 19:49:16,0
1295,1295,137,449,18,342,342,342,79,79,79,79,329,67,76,12,12,50,16,0,2023-11-13 19:50:48,0
1296,1296,148,450,23,340,340,340,77,77,77,77,328,67,75,12,12,50,13,3,2023-11-13 19:51:16,0
1296,1296,343,503,218,198,199,199,80,80,80,81,148,37,36,12,12,23,2,4,2023-11-13 19:52:48,0
1296,1296,445,534,325,130,131,131,77,77,77,78,67,23,15,12,12,11,1,1,2023-11-13 19:53:16,0
1275,1275,592,653,462,95,95,95,95,95,95,95,0,9,0,12,12,0,0,0,2023-11-13 19:54:48,0
1264,1264,590,674,464,105,104,104,105,105,105,104,0,11,0,12,12,0,0,0,2023-11-13 19:55:16,0
1294,1294,601,671,487,92,92,92,92,92,92,92,0,17,0,12,12,0,0,0,2023-11-13 19:56:48,0
1296,1296,590,655,474,90,91,91,90,90,90,91,0,14,0,12,12,0,0,0,2023-11-13 19:57:16,0
1286,1286,579,658,461,99,99,99,98,98,98,98,1,13,0,12,12,1,0,0,2023-11-13 19:58:48,0
1294,1294,557,639,438,101,101,101,100,100,100,100,1,16,0,12,12,1,0,0,2023-11-13 19:59:16,0
1294,1294,537,620,430,95,95,95,95,95,95,95,0,13,0,12,12,0,0,0,2023-11-13 20:00:48,0
1296,1296,563,641,451,95,95,95,95,95,95,95,0,13,0,12,12,0,0,0,2023-11-13 20:01:16,0
1296,1296,536,591,412,90,90,90,89,89,89,89,1,13,0,12,12,1,0,0,2023-11-13 20:02:48,0
1267,1267,576,626,450,88,88,88,87,87,87,87,1,11,0,12,12,1,0,0,2023-11-13 20:03:16,0
1273,1273,602,677,462,107,107,107,107,107,107,107,0,11,0,12,12,0,0,0,2023-11-13 20:04:48,0
1296,1296,560,642,434,104,104,104,104,104,104,104,0,12,0,12,12,0,0,0,2023-11-13 20:05:16,0
1301,1301,613,684,502,91,91,91,91,91,91,91,0,7,0,12,12,0,0,0,2023-11-13 20:06:48,0
1295,1295,644,711,529,91,91,91,91,91,91,91,0,7,0,12,12,0,0,0,2023-11-13 20:07:16,0
1286,1286,639,718,520,99,99,99,99,99,99,99,0,9,0,12,12,0,0,0,2023-11-13 20:08:48,0
1296,1296,636,729,506,112,112,112,111,111,111,111,1,13,0,12,12,1,0,0,2023-11-13 20:09:16,0
1296,1296,662,748,537,110,110,110,100,100,100,100,11,16,1,12,12,1,2,0,2023-11-13 20:10:48,2
1297,1297,638,710,518,100,100,100,91,91,91,91,10,15,1,12,12,0,2,0,2023-11-13 20:11:16,2
1264,1264,601,685,483,99,99,99,99,99,99,99,0,15,4,12,12,0,0,0,2023-11-13 20:12:48,8
1263,1263,630,716,508,102,102,102,102,102,102,102,0,12,4,12,12,0,0,0,2023-11-13 20:13:16,8
1307,1307,533,597,426,85,85,85,85,85,85,85,0,12,0,12,12,0,0,0,2023-11-13 20:14:48,0
1295,1295,471,533,377,78,77,77,78,78,78,77,0,10,0,12,12,0,0,0,2023-11-13 20:15:16,0
1293,1293,493,571,386,93,93,93,92,92,92,92,1,11,0,12,12,1,0,0,2023-11-13 20:16:48,0
1296,1296,475,560,358,102,102,102,100,100,100,100,2,12,0,12,12,2,0,0,2023-11-13 20:17:16,0
1287,1287,502,580,370,106,106,106,104,104,104,104,2,14,0,12,12,2,0,0,2023-11-13 20:18:48,0
1295,1295,576,666,436,117,118,118,112,112,112,113,6,14,1,12,12,1,1,0,2023-11-13 20:19:16,0
1300,1300,548,645,430,110,110,110,105,105,105,105,6,8,1,12,12,1,1,0,2023-11-13 20:20:48,0
1262,1262,524,598,425,87,87,87,86,86,86,86,1,9,0,12,12,1,0,0,2023-11-13 20:21:16,0
1268,1268,581,653,475,89,89,89,89,89,89,89,0,13,0,12,12,0,0,0,2023-11-13 20:22:48,0
1307,1307,572,647,461,93,93,93,93,93,93,93,0,14,0,12,12,0,0,0,2023-11-13 20:23:16,0
1299,1299,601,675,487,94,94,94,94,94,94,94,0,10,0,12,12,0,0,0,2023-11-13 20:24:48,0
1295,1295,610,679,497,91,91,91,91,91,91,91,0,7,0,12,12,0,0,0,2023-11-13 20:25:16,0
1298,1298,206,237,145,50,50,50,42,42,42,42,10,6,2,12,12,0,2,0,2023-11-13 20:26:48,0
1287,1287,85,107,41,39,39,39,27,27,27,27,15,6,3,12,12,0,3,0,2023-11-13 20:27:16,0
1285,1285,66,54,25,16,16,16,12,12,12,12,5,4,1,12,12,0,1,0,2023-11-13 20:28:48,0
1300,1300,58,41,20,10,10,10,10,10,10,10,0,4,0,12,12,0,0,0,2023-11-13 20:29:16,0
1268,1268,93,126,33,65,64,64,28,28,28,27,46,11,10,12,12,7,2,0,2023-11-13 20:30:48,0
1266,1266,140,263,51,157,156,156,49,49,49,48,135,28,34,12,12,21,4,2,2023-11-13 20:31:16,0
1297,1297,192,518,80,343,343,343,79,79,79,79,330,66,82,12,12,52,12,2,2023-11-13 20:32:48,0
1294,1294,177,498,76,336,336,336,76,76,76,76,324,66,74,12,12,53,12,0,2023-11-13 20:33:16,0
1304,1304,229,543,110,336,337,337,89,89,89,90,309,66,69,12,12,49,9,4,2023-11-13 20:34:48,0
1294,1294,347,592,230,267,268,268,87,87,87,88,226,50,53,12,12,34,7,4,2023-11-13 20:35:16,0
1290,1290,600,671,482,96,96,96,92,92,92,92,5,11,1,12,12,0,1,0,2023-11-13 20:36:48,0
1296,1296,547,629,424,104,104,104,100,100,100,100,5,13,1,12,12,0,1,0,2023-11-13 20:37:16,0
1265,1265,567,672,437,126,125,125,110,110,110,109,20,16,4,12,12,4,0,0,2023-11-13 20:38:48,0
1272,1272,601,711,465,135,135,135,111,111,111,111,30,19,6,12,12,6,0,0,2023-11-13 20:39:16,0
1296,1296,559,662,407,151,151,151,104,104,104,104,58,28,11,12,12,6,6,0,2023-11-13 20:40:48,0
1296,1296,572,678,425,153,153,153,100,100,100,100,66,28,13,12,12,7,7,0,2023-11-13 20:41:16,0
1293,1293,532,661,404,145,146,146,111,111,111,112,43,26,9,12,12,8,1,0,2023-11-13 20:42:48,0
1294,1294,493,601,365,128,128,128,108,108,108,108,25,20,5,12,12,5,0,0,2023-11-13 20:43:16,0
1302,1302,518,604,394,111,111,111,99,99,99,99,15,11,3,12,12,3,0,0,2023-11-13 20:44:48,0
1296,1296,578,678,440,125,125,125,113,113,113,113,15,13,3,12,12,3,0,0,2023-11-13 20:45:16,0
1263,1263,648,722,513,104,104,104,104,104,104,104,0,12,0,12,12,0,0,0,2023-11-13 20:46:48,0
1264,1264,597,665,474,95,95,95,95,95,95,95,0,12,0,12,12,0,0,0,2023-11-13 20:47:16,0
1291,1291,560,648,434,109,109,109,105,105,105,105,5,9,1,12,12,1,0,0,2023-11-13 20:48:48,0
1296,1296,577,661,457,104,104,104,100,100,100,100,5,7,1,12,12,1,0,0,2023-11-13 20:49:16,0
1298,1298,567,641,457,92,92,92,92,92,92,92,0,7,0,12,12,0,0,0,2023-11-13 20:50:48,0
1295,1295,588,663,457,101,101,101,101,101,101,101,0,11,3,12,12,0,0,0,2023-11-13 20:51:16,2
1297,1297,571,648,444,100,100,100,100,100,100,100,0,8,3,12,12,0,0,0,2023-11-13 20:52:48,2
1296,1296,534,612,423,95,94,94,95,95,95,94,0,5,0,12,12,0,0,0,2023-11-13 20:53:16,0
1299,1299,550,605,401,104,104,104,100,100,100,100,5,13,1,12,12,0,1,0,2023-11-13 20:54:48,0
1296,1296,565,635,409,115,115,115,111,111,111,111,5,15,1,12,12,0,1,0,2023-11-13 20:55:16,0
1293,1293,491,581,369,106,106,106,105,105,105,105,1,15,0,12,12,1,0,0,2023-11-13 20:56:48,0
1269,1269,451,530,337,96,97,97,95,95,95,96,1,15,0,12,12,1,0,0,2023-11-13 20:57:16,0
1264,1264,586,666,462,102,102,102,102,102,102,102,0,15,0,12,12,0,0,0,2023-11-13 20:58:48,0
1294,1294,650,724,528,98,98,98,98,98,98,98,0,12,0,12,12,0,0,0,2023-11-13 20:59:16,0
1295,1295,555,618,435,92,92,92,91,91,91,91,1,7,0,12,12,1,0,0,2023-11-13 21:00:48,0
1295,1295,554,611,418,97,97,97,96,96,96,96,1,10,0,12,12,1,0,0,2023-11-13 21:01:16,0
1295,1295,582,643,459,93,92,92,92,92,92,91,1,9,0,12,12,1,0,0,2023-11-13 21:02:48,0
1295,1295,548,615,425,96,95,95,95,95,95,94,1,11,0,12,12,1,0,0,2023-11-13 21:03:16,0
1303,1303,602,670,448,111,111,111,111,111,111,111,0,15,0,12,12,0,0,0,2023-11-13 21:04:48,0
1295,1295,634,710,493,108,109,109,108,108,108,109,0,14,0,12,12,0,0,0,2023-11-13 21:05:16,0
1264,1264,577,635,449,93,93,93,93,93,93,93,0,14,0,12,12,0,0,0,2023-11-13 21:06:48,0
1265,1265,559,610,428,91,91,91,91,91,91,91,0,11,0,12,12,0,0,0,2023-11-13 21:07:16,0
1296,1296,609,678,486,99,100,100,91,91,91,92,10,8,2,12,12,1,1,0,2023-11-13 21:08:48,0
1293,1293,569,644,446,104,104,104,93,93,93,93,13,9,2,12,12,2,1,0,2023-11-13 21:09:16,0
1284,1284,503,579,392,95,95,95,92,92,92,92,3,15,0,12,12,1,0,0,2023-11-13 21:10:48,0
1295,1295,536,607,412,98,98,98,97,97,97,97,1,15,0,12,12,1,0,0,2023-11-13 21:11:16,0
1295,1295,556,624,425,100,100,100,99,99,99,99,1,9,0,12,12,1,0,0,2023-11-13 21:12:48,0
1291,1291,561,632,448,92,92,92,92,92,92,92,0,7,0,12,12,0,0,0,2023-11-13 21:13:16,0
1286,1286,587,647,459,94,94,94,94,94,94,94,0,10,0,12,12,0,0,0,2023-11-13 21:14:48,0
1279,1279,625,682,502,90,90,90,90,90,90,90,0,10,0,12,12,0,0,0,2023-11-13 21:15:16,0
1292,1292,566,633,435,99,99,99,99,99,99,99,0,12,0,12,12,0,0,0,2023-11-13 21:16:48,0
1296,1296,512,583,379,102,102,102,102,102,102,102,0,14,0,12,12,0,0,0,2023-11-13 21:17:16,0
1290,1290,517,592,407,92,92,92,92,92,92,92,0,11,0,12,12,0,0,0,2023-11-13 21:18:48,0
1294,1294,520,594,409,93,92,92,92,92,92,91,1,13,0,12,12,1,0,0,2023-11-13 21:19:16,0
1302,1302,558,634,451,94,94,94,89,89,89,89,6,13,2,12,12,1,1,0,2023-11-13 21:20:48,3
1292,1292,445,497,351,75,76,76,70,70,70,71,6,8,4,12,12,0,1,0,2023-11-13 21:21:16,9
1288,1288,46,40,11,15,15,15,14,14,14,14,1,0,2,12,12,0,0,0,2023-11-13 21:22:48,6
1279,1279,50,41,13,14,14,14,14,14,14,14,0,0,0,12,12,0,0,0,2023-11-13 21:23:16,0
1276,1276,59,43,15,14,14,14,14,14,14,14,0,0,0,12,12,0,0,0,2023-11-13 21:24:48,0
1295,1295,53,41,15,13,13,13,13,13,13,13,0,1,0,12,12,0,0,0,2023-11-13 21:25:16,0
1298,1298,103,268,21,193,191,191,49,49,49,47,180,41,43,12,12,29,5,2,2023-11-13 21:26:48,0
1295,1295,127,373,20,277,276,276,65,65,65,64,265,57,65,12,12,44,7,2,2023-11-13 21:27:16,0
1289,1289,127,445,6,348,349,349,79,79,79,80,336,71,78,12,12,53,14,0,2023-11-13 21:28:48,0
1295,1295,124,442,8,343,343,343,79,79,79,79,330,70,77,12,12,51,14,1,2023-11-13 21:29:16,0
1296,1296,408,610,307,215,216,216,80,80,80,81,169,39,40,12,12,26,4,4,2023-11-13 21:30:48,0
1297,1297,497,637,381,163,164,164,91,91,91,92,90,28,19,12,12,13,2,3,2023-11-13 21:31:16,0
1295,1295,586,652,450,101,101,101,101,101,101,101,0,14,0,12,12,0,0,0,2023-11-13 21:32:48,0
1271,1271,614,683,491,96,96,96,96,96,96,96,0,13,0,12,12,0,0,0,2023-11-13 21:33:16,0
1281,1281,595,672,474,99,99,99,99,99,99,99,0,18,0,12,12,0,0,0,2023-11-13 21:34:48,0
1286,1286,559,628,440,94,94,94,94,94,94,94,0,16,0,12,12,0,0,0,2023-11-13 21:35:16,0
1292,1293,502,586,379,102,102,102,101,101,101,101,0,10,4,12,12,0,0,0,2023-11-13 21:36:48,9
1305,1306,524,615,403,105,104,104,104,104,104,103,0,13,4,12,12,0,0,0,2023-11-13 21:37:16,9
1290,1290,628,698,500,99,99,99,99,99,99,99,0,18,0,12,12,0,0,0,2023-11-13 21:38:48,0
1295,1295,635,702,509,96,97,97,96,96,96,97,0,15,0,12,12,0,0,0,2023-11-13 21:39:16,0
1301,1301,586,655,473,91,91,91,90,90,90,90,1,11,0,12,12,1,0,0,2023-11-13 21:40:48,0
1288,1288,556,617,445,86,86,86,85,85,85,85,1,10,0,12,12,1,0,0,2023-11-13 21:41:16,0
1293,1293,531,570,404,83,83,83,83,83,83,83,0,9,0,12,12,0,0,0,2023-11-13 21:42:48,0
1304,1304,572,607,427,90,90,90,90,90,90,90,0,12,0,12,12,0,0,0,2023-11-13 21:43:16,0
1272,1272,553,596,428,84,84,84,84,84,84,84,0,11,0,12,12,0,0,0,2023-11-13 21:44:48,0
1266,1266,526,589,416,87,86,86,87,87,87,86,0,9,0,12,12,0,0,0,2023-11-13 21:45:16,0
1292,1292,558,646,427,110,109,109,110,110,110,109,0,12,0,12,12,0,0,0,2023-11-13 21:46:48,0
1295,1295,571,645,438,103,104,104,103,103,103,104,0,11,0,12,12,0,0,0,2023-11-13 21:47:16,0
1288,1288,619,695,497,99,100,100,98,98,98,99,1,14,0,12,12,1,0,0,2023-11-13 21:48:48,0
1293,1293,598,685,474,106,106,106,105,105,105,105,1,16,0,12,12,1,0,0,2023-11-13 21:49:16,0
1293,1293,649,742,527,107,107,107,107,107,107,107,0,12,0,12,12,0,0,0,2023-11-13 21:50:48,0
1295,1295,678,768,561,103,103,103,103,103,103,103,0,12,0,12,12,0,0,0,2023-11-13 21:51:16,0
1296,1296,547,615,449,83,83,83,83,83,83,83,0,13,0,12,12,0,0,0,2023-11-13 21:52:48,0
1283,1283,542,611,437,87,87,87,87,87,87,87,0,14,0,12,12,0,0,0,2023-11-13 21:53:16,0
1278,1278,556,641,432,105,105,105,104,104,104,104,1,12,0,12,12,1,0,0,2023-11-13 21:54:48,0
1283,1283,558,644,442,102,101,101,101,101,101,100,1,10,0,12,12,1,0,0,2023-11-13 21:55:16,0
1299,1299,584,644,474,85,85,85,85,85,85,85,0,10,0,12,12,0,0,0,2023-11-13 21:56:48,0
1294,1294,609,673,497,88,89,89,87,87,87,88,1,11,0,12,12,1,0,0,2023-11-13 21:57:16,0
1284,1284,565,655,460,100,100,100,95,95,95,95,6,12,1,12,12,1,1,0,2023-11-13 21:58:48,0
1296,1296,498,588,395,99,98,98,95,95,95,94,5,12,1,12,12,0,1,0,2023-11-13 21:59:16,0
1299,1299,585,654,467,94,93,93,94,94,94,93,0,13,0,12,12,0,0,0,2023-11-13 22:00:48,0
1297,1297,601,669,479,95,96,96,94,94,94,95,1,15,0,12,12,1,0,0,2023-11-13 22:01:16,0
1266,1266,552,623,456,83,84,84,82,82,82,83,1,10,0,12,12,1,0,0,2023-11-13 22:02:48,0
1269,1269,621,684,521,81,81,81,81,81,81,81,0,6,0,12,12,0,0,0,2023-11-13 22:03:16,0
1306,1306,728,780,599,91,91,91,90,90,90,90,1,12,0,12,12,1,0,0,2023-11-13 22:04:48,0
1295,1295,737,799,603,99,98,98,98,98,98,97,1,15,0,12,12,1,0,0,2023-11-13 22:05:16,0
1293,1293,647,730,524,103,103,103,103,103,103,103,0,16,0,12,12,0,0,0,2023-11-13 22:06:48,0
1295,1295,587,661,481,89,90,90,89,89,89,90,0,14,0,12,12,0,0,0,2023-11-13 22:07:16,0
1288,1288,687,762,579,91,91,91,91,91,91,91,0,9,0,12,12,0,0,0,2023-11-13 22:08:48,0
1296,1296,696,770,575,98,98,98,97,97,97,97,1,11,0,12,12,1,0,0,2023-11-13 22:09:16,0
1296,1296,634,712,523,95,95,95,94,94,94,94,1,10,0,12,12,1,0,0,2023-11-13 22:10:48,0
1268,1268,644,724,536,94,94,94,94,94,94,94,0,10,0,12,12,0,0,0,2023-11-13 22:11:16,0
1267,1267,606,679,497,91,91,91,90,90,90,90,1,16,0,12,12,1,0,0,2023-11-13 22:12:48,0
1295,1295,656,731,541,95,95,95,94,94,94,94,1,14,0,12,12,1,0,0,2023-11-13 22:13:16,0
1301,1301,606,678,491,93,93,93,93,93,93,93,0,12,0,12,12,0,0,0,2023-11-13 22:14:48,0
1295,1295,569,641,466,87,87,87,87,87,87,87,0,13,0,12,12,0,0,0,2023-11-13 22:15:16,0
1295,1295,527,597,437,80,80,80,80,80,80,80,0,9,0,12,12,0,0,0,2023-11-13 22:16:48,0
1296,1296,366,419,295,62,62,62,62,62,62,62,0,7,0,12,12,0,0,0,2023-11-13 22:17:16,0
1291,1291,29,24,8,8,8,8,8,8,8,8,0,2,0,12,12,0,0,0,2023-11-13 22:18:48,0
1296,1296,37,33,17,8,8,8,8,8,8,8,0,2,0,12,12,0,0,0,2023-11-13 22:19:16,0
1270,1270,91,85,67,9,9,9,9,9,9,9,0,1,0,12,12,0,0,0,2023-11-13 22:20:48,0
1265,1265,104,100,74,15,15,15,11,11,11,11,5,2,1,12,12,1,0,0,2023-11-13 22:21:16,0
1289,1289,110,309,39,216,215,215,46,46,46,45,212,43,50,12,12,35,5,2,2023-11-13 22:22:48,0
1295,1295,114,388,24,290,289,289,61,61,61,60,286,58,70,12,12,47,8,2,2023-11-13 22:23:16,0
1302,1302,151,463,43,336,336,336,74,74,74,74,328,68,76,12,12,51,15,0,2023-11-13 22:24:48,1
1294,1294,166,481,56,339,339,339,76,76,76,76,329,69,76,12,12,50,14,2,2023-11-13 22:25:16,1
1289,1289,460,644,355,201,202,202,81,81,81,82,150,39,36,12,12,23,3,4,2023-11-13 22:26:48,0
1295,1295,585,697,488,132,133,133,75,75,75,76,71,24,15,12,12,12,1,2,2023-11-13 22:27:16,0
1296,1297,673,733,579,78,78,78,76,76,76,76,1,10,0,12,12,1,0,0,2023-11-13 22:28:48,1
1296,1297,652,719,554,83,83,83,82,82,82,82,0,10,0,12,12,0,0,0,2023-11-13 22:29:16,1
1274,1274,634,721,524,107,107,107,90,90,90,90,21,16,4,12,12,1,4,0,2023-11-13 22:30:48,4
1276,1276,678,768,559,113,113,113,96,96,96,96,21,15,4,12,12,1,4,0,2023-11-13 22:31:16,4
1296,1296,717,785,616,85,84,84,85,85,85,84,0,10,0,12,12,0,0,0,2023-11-13 22:32:48,0
1296,1296,683,743,584,79,79,79,79,79,79,79,0,11,0,12,12,0,0,0,2023-11-13 22:33:16,0
1300,1300,533,600,414,92,93,93,92,92,92,93,0,16,0,12,12,0,0,0,2023-11-13 22:34:48,0
1294,1294,511,588,400,94,94,94,94,94,94,94,0,16,0,12,12,0,0,0,2023-11-13 22:35:16,0
1297,1297,738,810,639,86,85,85,86,86,86,85,0,9,0,12,12,0,0,0,2023-11-13 22:36:48,0
1295,1295,741,806,638,84,84,84,84,84,84,84,0,9,0,12,12,0,0,0,2023-11-13 22:37:16,0
1259,1259,549,615,438,88,89,89,88,88,88,89,0,10,0,12,12,0,0,0,2023-11-13 22:38:48,0
1264,1264,582,653,475,89,89,89,89,89,89,89,0,10,0,12,12,0,0,0,2023-11-13 22:39:16,0
1293,1293,647,721,543,89,89,89,89,89,89,89,0,9,0,12,12,0,0,0,2023-11-13 22:40:48,0
1295,1295,659,734,545,95,94,94,95,95,95,94,0,10,0,12,12,0,0,0,2023-11-13 22:41:16,0
1299,1299,753,829,654,87,87,87,87,87,87,87,0,15,0,12,12,0,0,0,2023-11-13 22:42:48,0
1292,1292,743,814,650,81,82,82,81,81,81,82,0,13,0,12,12,0,0,0,2023-11-13 22:43:16,0
1306,1306,616,691,499,96,96,96,96,96,96,96,0,16,0,12,12,0,0,0,2023-11-13 22:44:48,0
1298,1298,596,675,483,96,96,96,96,96,96,96,0,16,0,12,12,0,0,0,2023-11-13 22:45:16,0
1288,1288,690,757,569,92,92,92,92,92,92,92,0,12,4,12,12,0,0,0,2023-11-13 22:46:48,8
1276,1276,710,769,597,84,84,84,84,84,84,84,0,11,4,12,12,0,0,0,2023-11-13 22:47:16,8
1269,1269,725,797,617,90,90,90,90,90,90,90,0,11,0,12,12,0,0,0,2023-11-13 22:48:48,4
1296,1296,730,811,609,101,101,101,101,101,101,101,0,15,0,12,12,0,0,0,2023-11-13 22:49:16,4
1295,1295,710,795,603,96,96,96,96,96,96,96,0,19,0,12,12,0,0,0,2023-11-13 22:50:48,0
1295,1295,742,843,639,110,110,110,94,94,94,94,20,21,4,12,12,0,4,0,2023-11-13 22:51:16,0
1296,1296,686,782,578,110,110,110,94,94,94,94,20,19,4,12,12,0,4,0,2023-11-13 22:52:48,0
1296,1296,682,760,569,95,95,95,95,95,95,95,0,17,0,12,12,0,0,0,2023-11-13 22:53:16,0
1299,1299,771,851,661,95,95,95,94,94,94,94,1,13,0,12,12,1,0,0,2023-11-13 22:54:48,0
1295,1295,767,851,652,100,100,100,99,99,99,99,1,10,0,12,12,1,0,0,2023-11-13 22:55:16,0
1271,1271,714,806,592,107,107,107,107,107,107,107,0,11,0,12,12,0,0,0,2023-11-13 22:56:48,0
1268,1268,629,715,523,98,98,98,94,94,94,94,5,11,1,12,12,1,0,0,2023-11-13 22:57:16,0
1289,1289,575,640,480,82,82,82,78,78,78,78,5,8,1,12,12,1,0,0,2023-11-13 22:58:48,0
1295,1295,608,669,507,81,81,81,81,81,81,81,0,10,0,12,12,0,0,0,2023-11-13 22:59:16,0
1296,1296,710,772,602,85,85,85,85,85,85,85,0,10,0,12,12,0,0,0,2023-11-13 23:00:48,0
1290,1290,691,757,579,89,89,89,89,89,89,89,0,8,0,12,12,0,0,0,2023-11-13 23:01:16,0
1295,1295,639,708,542,83,83,83,83,83,83,83,0,8,0,12,12,0,0,0,2023-11-13 23:02:48,0
1301,1301,732,801,641,80,80,80,80,80,80,80,0,9,0,12,12,0,0,0,2023-11-13 23:03:16,0
1274,1274,776,853,676,88,88,88,88,88,88,88,0,10,0,12,12,0,0,0,2023-11-13 23:04:48,0
1264,1264,744,827,642,92,92,92,92,92,92,92,0,11,0,12,12,0,0,0,2023-11-13 23:05:16,0
1296,1296,669,743,567,88,88,88,88,88,88,88,0,9,0,12,12,0,0,0,2023-11-13 23:06:48,0
1295,1295,701,777,589,94,94,94,94,94,94,94,0,10,0,12,12,0,0,0,2023-11-13 23:07:16,0
1284,1284,808,887,697,95,95,95,95,95,95,95,0,15,0,12,12,0,0,0,2023-11-13 23:08:48,0
1295,1295,788,858,678,90,90,90,90,90,90,90,0,14,0,12,12,0,0,0,2023-11-13 23:09:16,0
1296,1296,690,752,584,85,84,84,84,84,84,83,1,12,0,12,12,0,0,0,2023-11-13 23:10:48,1
1296,1296,696,762,599,82,82,82,81,81,81,81,1,8,0,12,12,0,0,0,2023-11-13 23:11:16,1
