request,response,infra.grpc.handler,QueryCard,"verifyCard: match cardNo local, <:cardNo:> <:transactionID:> <:spanID:>",call by <:*:> fn:QueryCard call cost:<:NUM:> <:traceID:> <:transactionID:> <:spanID:>,"CardQuery <:*:> channel, <:cardNo:> <:transactionID:> <:spanID:>",CardQuery <:*:> <:<:resp:>,"verifyCardLocal: s.dao.GetCard failed, err=sql: no rows in result set <:traceID:> <:transactionID:> <:spanID:>","verifyCard: match cardNo by channel, <:cardNo:> valid=<:STATUS:>, <:cardBin:>",verifyCard: <:cardNo:> Yrouter:<:STATUS:> <:traceID:> <:transactionID:> <:spanID:>,verifyCard: <:cardNo:> <:<:resp:>,need retry pre call <:*:> err:card is invalid <:traceID:> <:transactionID:> <:spanID:>,sendPostRequest huaDao <:<:resp:>,"s.MatchByNameAndNo failed, errCode=<:NUM:>, <:cardNo:> <:*:> <:traceID:> <:transactionID:> <:spanID:>",buildBinMap: get bins count=<:NUM:>,syncCardBin: get card bin <:MAP:>,<:ChineseInfo:>，cardNo:<:SEQ:> <:resp:>,huaDaoCardQuery <:*:> err:&{<:NUM:> <:ChineseInfo:>} <:traceID:> <:transactionID:> <:spanID:>,<:ChineseInfo:>，cardNo:<:NUM:> <:resp:>,timestamp,unknown
1268,1268,498,569,358,105,106,105,106,106,106,105,0,10,0,12,12,0,0,0,2023-11-10 11:17:16,0
1294,1294,464,516,326,95,94,95,94,94,94,95,0,14,0,12,12,0,0,0,2023-11-10 11:19:16,0
1296,1296,98,104,49,29,29,29,25,25,25,25,5,5,1,12,12,0,1,0,2023-11-10 11:21:16,0
1294,1294,79,67,21,21,21,21,21,21,21,21,0,1,4,12,12,0,0,0,2023-11-10 11:23:16,8
1296,1296,149,386,36,263,264,263,68,68,68,67,245,51,68,12,12,42,5,2,2023-11-10 11:25:16,16
1273,1273,187,476,41,335,335,335,83,83,83,83,315,66,80,12,12,47,16,0,2023-11-10 11:27:16,18
1295,1295,462,617,316,195,194,195,98,98,98,99,120,43,32,12,12,17,3,4,2023-11-10 11:29:16,8
1297,1297,606,695,459,116,116,116,116,116,116,116,0,11,4,12,12,0,0,0,2023-11-10 11:31:16,8
1292,1292,536,619,405,110,110,110,102,102,102,102,10,11,2,12,12,2,0,0,2023-11-10 11:33:16,0
1269,1269,637,699,477,111,111,111,111,111,111,111,0,17,0,12,12,0,0,0,2023-11-10 11:35:16,0
1296,1296,648,796,460,168,168,168,168,168,168,168,0,17,0,12,12,0,0,0,2023-11-10 11:37:16,0
1292,1292,613,710,461,129,129,129,120,120,120,120,11,16,2,12,12,1,2,0,2023-11-10 11:39:16,1
1297,1297,665,726,506,112,113,112,108,108,108,107,6,15,1,12,12,1,1,0,2023-11-10 11:41:16,0
1268,1268,616,672,475,95,94,95,93,93,93,94,1,11,8,12,12,1,0,0,2023-11-10 11:43:16,16
1297,1297,604,668,467,100,100,100,100,100,100,100,0,10,0,12,12,0,0,0,2023-11-10 11:45:16,0
1293,1293,607,670,472,97,97,97,96,96,96,96,1,15,4,12,12,1,0,0,2023-11-10 11:47:16,8
1296,1296,666,767,497,139,139,139,131,131,131,131,10,22,2,12,12,2,0,0,2023-11-10 11:49:16,1
1297,1297,625,687,435,112,112,112,112,112,112,112,0,12,28,12,12,0,0,0,2023-11-10 11:51:16,56
1272,1272,86,64,29,11,11,11,11,11,11,11,0,1,12,12,12,0,0,0,2023-11-10 11:53:16,16
1287,1287,86,71,28,21,22,21,22,22,22,21,0,5,0,12,12,0,0,0,2023-11-10 11:55:16,0
1302,1302,141,326,45,207,207,207,63,63,63,63,180,40,45,12,12,25,5,6,2023-11-10 11:57:16,5
1289,1289,154,461,23,342,342,342,82,82,82,82,324,71,78,12,12,52,13,0,2023-11-10 11:59:16,11
1304,1304,335,508,183,235,234,235,82,82,82,83,191,46,46,12,12,28,6,4,2023-11-10 12:01:16,1
1265,1265,629,686,469,106,106,106,106,106,106,106,0,12,4,12,12,0,0,0,2023-11-10 12:03:16,8
1298,1298,663,800,503,160,160,160,132,132,132,132,35,29,9,12,12,2,3,2,2023-11-10 12:05:16,5
1295,1295,652,730,542,94,94,94,94,94,94,94,0,17,0,12,12,0,0,0,2023-11-10 12:07:16,0
1295,1295,653,735,527,108,108,108,100,100,100,100,10,15,2,12,12,0,0,2,2023-11-10 12:09:16,0
1295,1295,661,746,515,117,118,117,114,114,114,113,5,14,1,12,12,0,1,0,2023-11-10 12:11:16,0
1252,1252,632,707,507,99,98,99,97,97,97,98,1,12,4,12,12,1,0,0,2023-11-10 12:13:16,8
1309,1309,634,731,500,113,113,113,113,113,113,113,0,10,4,12,12,0,0,0,2023-11-10 12:15:16,8
1284,1284,634,710,490,110,110,110,106,106,106,106,5,7,5,12,12,0,1,0,2023-11-10 12:17:16,8
1305,1305,687,747,545,101,101,101,101,101,101,101,0,12,0,12,12,0,0,0,2023-11-10 12:19:16,0
1260,1260,645,721,530,96,96,96,95,95,95,95,1,10,0,12,12,1,0,0,2023-11-10 12:21:16,0
1293,1293,76,56,22,13,13,13,13,13,13,13,0,3,8,12,12,0,0,0,2023-11-10 12:23:16,16
1297,1297,54,34,17,8,8,8,8,8,8,8,0,1,0,12,12,0,0,0,2023-11-10 12:25:16,0
1296,1296,120,290,25,205,206,205,53,53,53,52,191,39,45,12,12,31,5,2,2023-11-10 12:27:16,0
1265,1265,152,449,18,340,340,340,80,80,80,80,325,66,76,12,12,52,13,0,2023-11-10 12:29:16,1
1296,1296,334,531,211,221,220,221,93,93,93,94,159,41,38,12,12,23,5,4,2023-11-10 12:31:16,0
1289,1289,582,670,460,105,105,105,105,105,105,105,0,19,0,12,12,0,0,0,2023-11-10 12:33:16,0
1299,1299,538,627,402,113,114,113,112,112,112,111,2,12,0,12,12,0,0,0,2023-11-10 12:35:16,0
1295,1295,608,679,491,97,96,97,90,90,90,91,8,11,2,12,12,1,1,0,2023-11-10 12:37:16,0
1265,1265,545,606,434,86,86,86,86,86,86,86,0,9,0,12,12,0,0,0,2023-11-10 12:39:16,0
1296,1296,609,697,478,109,109,109,108,109,109,109,0,20,0,12,12,0,0,0,2023-11-10 12:41:16,1
1295,1295,549,624,442,89,90,89,89,89,89,88,1,11,4,12,12,1,0,0,2023-11-10 12:43:16,8
1297,1297,526,613,401,106,105,106,105,105,105,106,0,14,0,12,12,0,0,0,2023-11-10 12:45:16,0
1266,1266,523,596,385,104,104,104,103,103,103,103,1,16,4,12,12,1,0,0,2023-11-10 12:47:16,8
1294,1294,528,598,408,93,93,93,93,93,93,93,0,14,4,12,12,0,0,0,2023-11-10 12:49:16,8
1293,1293,522,599,397,101,101,101,101,101,101,101,0,14,0,12,12,0,0,0,2023-11-10 12:51:16,0
1294,1294,631,693,496,98,98,98,98,98,98,98,0,13,0,12,12,0,0,0,2023-11-10 12:53:16,0
1265,1265,552,632,434,99,99,99,99,99,99,99,0,11,0,12,12,0,0,0,2023-11-10 12:55:16,0
1295,1295,529,605,380,114,114,114,110,110,110,110,5,14,1,12,12,1,0,0,2023-11-10 12:57:16,0
1294,1294,93,73,35,19,19,19,19,19,19,19,0,3,0,12,12,0,0,0,2023-11-10 12:59:16,0
1297,1297,73,70,32,19,19,19,19,19,19,19,0,5,0,12,12,0,0,0,2023-11-10 13:01:16,0
1294,1294,103,254,22,177,178,177,48,48,48,47,162,34,39,12,12,24,5,4,2023-11-10 13:03:16,0
1256,1256,137,444,27,324,324,324,79,79,79,79,306,62,75,12,12,50,11,0,2023-11-10 13:05:16,9
1303,1303,338,572,216,259,258,259,89,89,89,90,212,47,50,12,12,31,7,4,2023-11-10 13:07:16,0
1295,1295,659,742,515,113,113,113,113,113,113,113,0,9,0,12,12,0,0,0,2023-11-10 13:09:16,0
1297,1297,653,721,507,111,111,111,103,103,103,103,10,17,2,12,12,0,2,0,2023-11-10 13:11:16,0
1267,1267,598,673,469,96,96,96,96,96,96,96,0,7,12,12,12,0,0,0,2023-11-10 13:13:16,24
1297,1297,582,653,449,104,104,104,100,100,100,100,4,14,0,12,12,0,1,0,2023-11-10 13:15:16,0
1296,1296,625,708,474,117,118,117,110,110,110,109,10,20,7,12,12,0,0,2,2023-11-10 13:17:16,10
1296,1296,762,878,571,151,151,151,143,143,143,143,10,13,14,12,12,1,1,0,2023-11-10 13:19:16,24
1294,1294,654,740,518,111,111,111,111,111,111,111,0,9,0,12,12,0,0,0,2023-11-10 13:21:16,0
1263,1263,541,619,420,102,101,102,93,93,93,94,10,9,6,12,12,0,2,0,2023-11-10 13:23:16,8
1295,1295,622,703,504,97,97,97,97,97,97,97,0,7,4,12,12,0,0,0,2023-11-10 13:25:16,8
1296,1296,501,575,387,94,94,94,94,94,94,94,0,12,0,12,12,0,0,0,2023-11-10 13:27:16,0
1296,1296,531,605,402,101,101,101,101,101,101,101,0,7,0,12,12,0,0,0,2023-11-10 13:29:16,0
1297,1297,765,941,546,198,198,198,197,197,197,197,1,31,0,12,12,1,0,0,2023-11-10 13:31:16,0
1259,1259,229,245,147,45,45,45,45,45,45,45,0,8,8,12,12,0,0,0,2023-11-10 13:33:16,16
1303,1303,69,67,25,21,21,21,21,21,21,21,0,3,0,12,12,0,0,0,2023-11-10 13:35:16,0
1296,1296,109,109,28,50,51,50,21,21,21,20,37,11,16,12,12,6,2,0,2023-11-10 13:37:16,16
1295,1295,172,503,42,352,352,352,94,94,94,94,322,67,79,12,12,51,11,2,2023-11-10 13:39:16,2
1297,1297,194,491,54,339,338,339,90,90,90,91,311,63,71,12,12,48,10,4,2023-11-10 13:41:16,0
1261,1261,678,772,519,130,130,130,118,118,118,118,15,24,7,12,12,2,1,0,2023-11-10 13:43:16,8
1297,1297,631,700,489,105,105,105,105,105,105,105,0,10,0,12,12,0,0,0,2023-11-10 13:45:16,0
1296,1296,601,687,462,109,110,109,110,110,110,109,0,11,4,12,12,0,0,0,2023-11-10 13:47:16,8
1296,1296,608,675,456,111,110,111,106,106,106,107,5,19,1,12,12,0,1,0,2023-11-10 13:49:16,0
1264,1264,605,661,441,107,107,107,106,106,106,106,1,11,7,12,12,1,0,0,2023-11-10 13:51:16,14
1297,1297,604,667,445,110,110,110,110,110,110,110,0,19,1,12,12,0,0,0,2023-11-10 13:53:16,2
1293,1293,663,745,487,131,131,131,123,123,123,123,10,17,6,12,12,0,2,0,2023-11-10 13:55:16,8
1299,1299,551,629,425,102,102,102,102,102,102,102,0,18,0,12,12,0,0,0,2023-11-10 13:57:16,0
1296,1296,533,597,402,99,99,99,95,95,95,95,5,12,1,12,12,0,1,0,2023-11-10 13:59:16,0
1270,1270,577,666,445,109,109,109,108,108,108,108,1,17,4,12,12,1,0,0,2023-11-10 14:01:16,8
1295,1295,455,477,327,74,74,74,72,72,72,72,2,9,4,12,12,2,0,0,2023-11-10 14:03:16,8
1296,1296,323,422,139,141,141,141,141,141,141,141,0,17,0,12,12,0,0,0,2023-11-10 14:05:16,0
1295,1295,103,74,42,14,14,14,14,14,14,14,0,1,4,12,12,0,0,0,2023-11-10 14:07:16,8
1296,1296,184,441,24,320,321,320,83,83,83,82,297,63,72,12,12,47,10,2,2023-11-10 14:09:16,2
1268,1268,175,466,38,330,330,330,84,84,84,84,307,63,75,12,12,49,12,1,2023-11-10 14:11:16,9
1293,1293,533,670,371,177,176,177,120,120,120,121,71,24,16,12,12,9,2,3,2023-11-10 14:13:16,1
1297,1297,643,722,481,120,120,120,116,116,116,116,5,17,5,12,12,0,1,0,2023-11-10 14:15:16,8
1296,1296,637,697,475,109,109,109,109,109,109,109,0,11,4,12,12,0,0,0,2023-11-10 14:17:16,8
1258,1258,627,657,460,95,95,95,91,91,91,91,5,18,9,12,12,0,1,0,2023-11-10 14:19:16,16
1307,1307,571,622,431,97,97,97,93,93,93,93,5,15,1,12,12,0,1,0,2023-11-10 14:21:16,0
1292,1292,569,622,406,110,110,110,105,105,105,105,6,14,1,12,12,1,0,1,2023-11-10 14:23:16,0
1286,1286,585,635,466,79,79,79,79,79,79,79,0,9,8,12,12,0,0,0,2023-11-10 14:25:16,16
1287,1287,620,703,433,133,134,133,126,126,126,125,10,21,12,12,12,1,1,0,2023-11-10 14:27:16,16
1292,1292,636,728,482,127,126,127,118,118,118,119,10,15,2,12,12,0,2,0,2023-11-10 14:29:16,0
1296,1296,680,755,511,124,124,124,120,120,120,120,5,11,1,12,12,1,0,0,2023-11-10 14:31:16,0
1293,1293,522,574,380,97,97,97,97,97,97,97,0,11,0,12,12,0,0,0,2023-11-10 14:33:16,0
1272,1272,935,1019,784,115,116,115,116,116,116,115,0,15,4,12,12,0,0,0,2023-11-10 14:35:16,8
1294,1294,692,772,549,111,110,111,110,110,110,111,0,13,0,12,12,0,0,0,2023-11-10 14:37:16,0
1295,1295,568,636,453,91,91,91,91,91,91,91,0,10,1,12,12,0,0,0,2023-11-10 14:39:16,0
1297,1297,478,530,373,81,81,81,73,73,73,73,10,8,2,12,12,2,0,0,2023-11-10 14:41:16,0
1294,1294,120,124,68,28,28,28,28,28,28,28,0,2,0,12,12,0,0,0,2023-11-10 14:43:16,0
1270,1270,126,109,47,30,31,30,31,31,31,30,0,3,0,12,12,0,0,0,2023-11-10 14:45:16,0
1295,1295,192,464,54,305,305,305,84,84,84,84,276,56,75,12,12,43,9,3,2023-11-10 14:47:16,17
1295,1295,394,813,143,460,460,460,199,199,199,199,325,85,74,12,12,49,15,1,2023-11-10 14:49:16,1
1296,1296,459,621,335,181,180,181,102,102,102,103,98,28,22,12,12,13,3,4,2023-11-10 14:51:16,1
1265,1265,607,671,465,101,101,101,97,97,97,97,5,10,9,12,12,1,0,0,2023-11-10 14:53:16,16
1295,1295,492,545,345,100,100,100,100,100,100,100,0,12,0,12,12,0,0,0,2023-11-10 14:55:16,0
1296,1296,674,761,539,111,111,111,107,107,107,107,5,14,5,12,12,0,0,1,2023-11-10 14:57:16,8
1296,1296,698,775,535,124,124,124,104,104,104,104,25,19,17,12,12,3,1,1,2023-11-10 14:59:16,24
1269,1269,665,761,517,129,129,129,113,113,113,113,20,16,4,12,12,1,3,0,2023-11-10 15:01:16,1
1294,1294,616,717,439,149,149,149,125,125,125,125,30,23,10,12,12,3,3,0,2023-11-10 15:03:16,8
1297,1297,674,749,524,109,109,109,108,108,108,108,1,12,8,12,12,1,0,0,2023-11-10 15:05:16,16
1296,1296,654,725,499,115,115,115,107,107,107,107,10,18,6,12,12,2,0,0,2023-11-10 15:07:16,8
1294,1294,712,779,543,120,121,120,116,116,116,115,6,18,1,12,12,2,0,0,2023-11-10 15:09:16,0
1267,1267,575,641,406,117,117,117,113,113,113,113,5,24,5,12,12,0,1,0,2023-11-10 15:11:16,8
1296,1296,212,223,113,51,50,51,50,50,50,51,0,3,8,12,12,0,0,0,2023-11-10 15:13:16,16
1294,1294,153,134,74,30,30,30,30,30,30,30,0,4,0,12,12,0,0,0,2023-11-10 15:15:16,0
1297,1297,138,235,42,134,135,134,47,47,47,46,110,24,32,12,12,18,2,2,2023-11-10 15:17:16,9
1263,1263,188,477,39,338,337,338,89,89,89,89,310,68,72,12,12,49,13,0,2023-11-10 15:19:16,2
1296,1296,290,545,135,299,299,299,99,99,99,100,250,59,62,12,12,38,8,4,2023-11-10 15:21:16,8
1296,1296,710,789,541,124,124,124,123,123,123,123,1,12,0,12,12,1,0,0,2023-11-10 15:23:16,0
1295,1295,720,819,533,143,143,143,139,139,139,139,5,13,5,12,12,0,1,0,2023-11-10 15:25:16,8
1277,1277,675,747,499,124,124,124,124,124,124,124,0,14,0,12,12,0,0,0,2023-11-10 15:27:16,0
1295,1295,543,628,372,129,129,129,121,121,121,121,10,12,2,12,12,1,1,0,2023-11-10 15:29:16,0
1296,1296,633,694,473,108,108,108,108,108,108,108,0,12,4,12,12,0,0,0,2023-11-10 15:31:16,8
1295,1295,647,741,485,121,122,121,122,122,122,121,0,18,12,12,12,0,0,0,2023-11-10 15:33:16,24
1293,1293,625,692,431,127,126,127,126,126,126,127,0,21,8,12,12,0,0,0,2023-11-10 15:35:16,16
1263,1263,730,813,567,123,123,123,123,123,123,123,0,16,0,12,12,0,0,0,2023-11-10 15:37:16,0
1295,1295,669,711,509,101,101,101,101,101,101,101,0,14,0,12,12,0,0,0,2023-11-10 15:39:16,0
1294,1294,661,728,486,119,119,119,119,119,119,119,0,11,4,12,12,0,0,0,2023-11-10 15:41:16,8
1295,1295,672,730,498,115,115,115,114,114,114,114,1,7,0,12,12,1,0,0,2023-11-10 15:43:16,0
1296,1296,137,117,44,34,34,34,34,34,34,34,0,3,4,12,12,0,0,0,2023-11-10 15:45:16,8
1259,1259,103,104,41,39,39,39,23,23,23,23,20,6,4,12,12,0,4,0,2023-11-10 15:47:16,0
1299,1299,189,397,57,258,259,258,74,74,74,73,231,52,53,12,12,33,11,2,2023-11-10 15:49:16,1
1295,1295,172,469,25,338,338,338,83,83,83,83,319,66,83,12,12,50,14,0,2023-11-10 15:51:16,17
1295,1295,419,622,276,228,227,228,107,107,107,108,150,40,36,12,12,22,4,4,2023-11-10 15:53:16,0
1296,1296,743,804,566,114,114,114,110,110,110,110,5,15,13,12,12,0,1,0,2023-11-10 15:55:16,24
1266,1266,608,661,453,109,109,109,97,97,97,97,15,16,4,12,12,2,1,0,2023-11-10 15:57:16,2
1294,1294,658,708,498,102,103,102,103,103,103,102,0,13,4,12,12,0,0,0,2023-11-10 15:59:16,8
1296,1296,651,713,501,106,105,106,101,101,101,102,5,15,5,12,12,0,1,0,2023-11-10 16:01:16,8
1296,1296,673,738,515,114,114,114,109,109,109,109,6,17,1,12,12,2,0,0,2023-11-10 16:03:16,0
1270,1270,715,788,573,105,105,105,101,101,101,101,5,13,9,12,12,1,0,0,2023-11-10 16:05:16,16
1295,1295,675,773,522,123,124,123,112,112,112,111,15,13,19,12,12,3,0,0,2023-11-10 16:07:16,32
1296,1296,746,812,583,119,118,119,110,110,110,111,10,18,2,12,12,2,0,0,2023-11-10 16:09:16,0
1295,1295,429,465,306,90,90,90,69,69,69,69,26,16,5,12,12,5,0,1,2023-11-10 16:11:16,0
1256,1256,113,91,34,26,26,26,26,26,26,26,0,4,4,12,12,0,0,0,2023-11-10 16:13:16,8
1306,1306,172,167,70,40,41,40,32,32,32,31,11,6,26,12,12,1,0,1,2023-11-10 16:15:16,48
1290,1290,226,512,50,351,351,351,92,92,92,92,323,70,83,12,12,53,10,2,2023-11-10 16:17:16,8
1302,1302,257,557,65,373,373,373,111,111,111,111,327,74,73,12,12,47,14,4,2023-11-10 16:19:16,0
1297,1297,609,691,440,135,134,135,107,107,107,108,34,21,16,12,12,6,2,0,2023-11-10 16:21:16,16
1268,1268,625,692,470,111,111,111,111,111,111,111,0,9,0,12,12,0,0,0,2023-11-10 16:23:16,0
1293,1293,696,747,533,106,107,106,107,107,107,106,0,12,0,12,12,0,0,0,2023-11-10 16:25:16,0
1296,1296,760,804,593,108,107,108,103,103,103,104,5,14,1,12,12,0,1,0,2023-11-10 16:27:16,0
1296,1296,804,855,642,106,106,106,98,98,98,98,10,12,10,12,12,0,2,0,2023-11-10 16:29:16,16
1266,1266,792,851,627,104,104,104,104,104,104,104,0,15,16,12,12,0,0,0,2023-11-10 16:31:16,32
1295,1295,752,826,568,125,125,125,125,125,125,125,0,21,8,12,12,0,0,0,2023-11-10 16:33:16,16
1282,1282,756,824,599,113,113,113,109,109,109,109,5,13,3,12,12,0,1,0,2023-11-10 16:35:16,0
1305,1305,762,831,576,125,125,125,125,125,125,125,0,8,4,12,12,0,0,0,2023-11-10 16:37:16,8
1294,1294,618,667,460,103,103,103,103,103,103,103,0,12,0,12,12,0,0,0,2023-11-10 16:39:16,0
1270,1270,723,777,531,129,129,129,117,117,117,117,15,19,3,12,12,1,2,0,2023-11-10 16:41:16,0
1289,1289,640,706,484,113,113,113,100,100,100,100,16,17,11,12,12,1,3,0,2023-11-10 16:43:16,16
1294,1294,178,151,65,46,46,46,38,38,38,38,10,4,2,12,12,0,2,0,2023-11-10 16:45:16,0
1301,1301,141,144,53,43,43,43,31,31,31,31,15,6,19,12,12,3,0,0,2023-11-10 16:47:16,32
1269,1269,182,334,63,209,210,209,51,51,51,50,198,43,50,12,12,33,5,2,2023-11-10 16:49:16,8
1294,1294,248,525,47,360,360,359,97,97,97,97,328,67,85,12,12,49,16,0,2023-11-10 16:51:16,22
1295,1295,398,586,259,224,223,224,97,97,97,98,158,43,38,12,12,24,4,4,2023-11-10 16:53:16,1
1295,1295,809,858,645,100,100,100,100,100,100,100,0,10,12,12,12,0,0,0,2023-11-10 16:55:16,24
1296,1296,699,732,519,104,104,104,104,104,104,104,0,20,4,12,12,0,0,0,2023-11-10 16:57:16,8
1265,1265,633,699,475,111,111,111,111,111,111,111,0,19,0,12,12,0,0,0,2023-11-10 16:59:16,0
1296,1296,638,684,455,112,112,112,104,104,104,104,10,10,13,12,12,0,2,0,2023-11-10 17:01:16,18
1296,1296,742,832,537,141,141,141,137,137,137,137,5,26,17,12,12,1,0,0,2023-11-10 17:03:16,32
1293,1293,679,746,516,111,111,111,111,111,111,111,0,12,8,12,12,0,0,0,2023-11-10 17:05:16,16
1295,1295,682,739,534,102,103,102,102,102,102,101,1,14,0,12,12,1,0,0,2023-11-10 17:07:16,0
1270,1270,706,761,537,108,107,108,107,107,107,108,0,20,8,12,12,0,0,0,2023-11-10 17:09:16,16
1296,1296,868,903,688,103,103,103,103,103,103,103,0,18,8,12,12,0,0,0,2023-11-10 17:11:16,16
1294,1294,769,788,586,103,103,103,99,99,99,99,5,11,1,12,12,0,1,0,2023-11-10 17:13:16,0
1296,1296,248,230,146,36,36,36,36,36,36,36,0,2,12,12,12,0,0,0,2023-11-10 17:15:16,24
1295,1295,137,164,66,47,47,47,31,31,31,31,20,10,22,12,12,0,0,4,2023-11-10 17:17:16,36
1267,1267,162,206,43,112,113,112,33,33,33,32,100,22,37,12,12,15,3,2,2023-11-10 17:19:16,24
1304,1304,344,717,135,430,430,429,132,132,132,132,371,88,94,12,12,54,21,0,2023-11-10 17:21:16,22
1294,1294,380,654,231,316,315,316,92,92,92,93,279,59,71,12,12,41,10,5,2023-11-10 17:23:16,17
1296,1296,779,843,592,122,122,122,117,117,117,117,6,16,13,12,12,1,1,0,2023-11-10 17:25:16,24
1270,1270,875,940,729,105,106,105,105,105,105,104,1,19,0,12,12,0,0,0,2023-11-10 17:27:16,0
1295,1295,746,818,604,106,106,106,95,95,95,95,14,11,15,12,12,2,1,0,2023-11-10 17:29:16,24
1296,1296,644,673,483,91,90,91,90,90,90,91,0,12,8,12,12,0,0,0,2023-11-10 17:31:16,16
1295,1295,723,770,566,96,96,96,96,96,96,96,0,16,12,12,12,0,0,0,2023-11-10 17:33:16,24
1269,1269,712,782,550,112,112,112,111,111,111,111,1,18,8,12,12,1,0,0,2023-11-10 17:35:16,16
1294,1294,583,623,446,88,88,88,88,88,88,88,0,11,0,12,12,0,0,0,2023-11-10 17:37:16,0
1295,1295,675,716,541,88,88,88,87,87,87,87,1,17,0,12,12,1,0,0,2023-11-10 17:39:16,0
1297,1297,663,743,526,110,110,110,106,106,106,106,5,14,1,12,12,0,1,0,2023-11-10 17:41:16,0
1294,1294,681,733,515,93,93,93,93,93,93,93,0,14,32,12,12,0,0,0,2023-11-10 17:43:16,64
1265,1265,637,694,490,100,100,100,100,100,100,100,0,7,4,12,12,0,0,0,2023-11-10 17:45:16,8
1295,1295,309,328,203,62,62,62,62,62,62,62,0,6,0,12,12,0,0,0,2023-11-10 17:47:16,0
1296,1296,186,127,68,27,27,27,26,26,26,26,1,5,4,12,12,1,0,0,2023-11-10 17:49:16,8
1297,1297,147,128,26,54,55,54,18,18,18,17,46,9,38,12,12,7,2,0,2023-11-10 17:51:16,56
1294,1294,176,479,34,346,346,346,84,84,84,84,327,67,80,12,12,52,12,2,2023-11-10 17:53:16,0
1265,1265,185,454,42,321,321,321,81,81,81,81,301,59,69,12,12,46,9,4,2023-11-10 17:55:16,1
1296,1297,622,707,441,132,132,132,126,126,126,126,6,14,9,12,12,1,0,0,2023-11-10 17:57:16,17
1295,1295,625,663,458,99,98,99,94,94,94,95,5,10,13,12,12,0,1,0,2023-11-10 17:59:16,24
1294,1294,614,678,451,113,113,113,108,108,108,108,6,18,5,12,12,1,1,0,2023-11-10 18:01:16,8
1294,1294,696,746,514,112,112,112,112,112,112,112,0,21,8,12,12,0,0,0,2023-11-10 18:03:16,16
1267,1267,687,723,539,92,92,92,92,92,92,92,0,10,0,12,12,0,0,0,2023-11-10 18:05:16,0
1295,1295,581,634,432,99,99,99,99,99,99,99,0,9,4,12,12,0,0,0,2023-11-10 18:07:16,8
1295,1295,693,736,524,106,106,106,106,106,106,106,0,17,0,12,12,0,0,0,2023-11-10 18:09:16,0
1293,1293,762,827,615,104,104,104,104,104,104,104,0,8,4,12,12,0,0,0,2023-11-10 18:11:16,8
1276,1276,739,782,609,87,88,87,80,80,80,79,10,12,6,12,12,2,0,0,2023-11-10 18:13:16,9
1295,1295,685,719,508,106,105,106,105,105,105,106,0,15,0,12,12,0,0,0,2023-11-10 18:15:16,0
1295,1295,637,684,474,103,103,103,103,103,103,103,0,14,4,12,12,0,0,0,2023-11-10 18:17:16,8
1295,1295,680,732,514,107,107,107,103,103,103,103,5,12,9,12,12,0,0,1,2023-11-10 18:19:16,16
1251,1251,330,334,226,52,52,52,52,52,52,52,0,7,0,12,12,0,0,0,2023-11-10 18:21:16,0
1309,1309,126,106,60,17,17,17,17,17,17,17,0,2,12,12,12,0,0,0,2023-11-10 18:23:16,24
1293,1293,103,173,38,94,95,94,37,37,37,36,72,18,17,12,12,11,2,1,2023-11-10 18:25:16,0
1295,1295,167,460,19,340,340,340,82,82,82,82,322,67,82,12,12,51,13,1,2023-11-10 18:27:16,9
1289,1289,198,472,88,301,300,301,76,76,76,77,281,58,64,12,12,44,8,4,2023-11-10 18:29:16,0
1279,1279,550,592,425,84,84,84,83,83,83,83,1,4,0,12,12,1,0,0,2023-11-10 18:31:16,0
1297,1297,722,758,553,97,97,97,97,97,97,97,0,19,8,12,12,0,0,0,2023-11-10 18:33:16,16
1294,1294,581,612,433,91,91,91,87,87,87,87,5,13,1,12,12,1,0,0,2023-11-10 18:35:16,0
1295,1295,764,815,492,103,103,103,99,99,99,99,5,7,117,12,12,0,1,0,2023-11-10 18:37:16,232
1295,1295,633,671,430,87,87,87,86,86,86,86,1,10,68,12,12,1,0,0,2023-11-10 18:39:16,136
1266,1266,535,576,408,82,82,82,82,82,82,82,0,13,4,12,12,0,0,0,2023-11-10 18:41:16,8
1299,1299,597,665,448,110,111,110,107,107,107,106,5,17,1,12,12,1,0,0,2023-11-10 18:43:16,0
1293,1293,667,712,526,93,92,93,92,92,92,93,0,8,0,12,12,0,0,0,2023-11-10 18:45:16,0
1291,1291,579,646,430,104,104,104,104,104,104,104,0,9,8,12,12,0,0,0,2023-11-10 18:47:16,16
1284,1284,621,678,474,99,99,99,99,99,99,99,0,8,4,12,12,0,0,0,2023-11-10 18:49:16,8
1296,1296,508,564,384,90,90,90,90,90,90,90,0,18,0,12,12,0,0,0,2023-11-10 18:51:16,0
1296,1296,641,711,501,105,105,105,105,105,105,105,0,10,0,12,12,0,0,0,2023-11-10 18:53:16,0
1295,1295,596,651,466,88,88,88,88,88,88,88,0,8,8,12,12,0,0,0,2023-11-10 18:55:16,16
1267,1267,99,83,29,33,33,33,17,17,17,17,20,5,8,12,12,0,4,0,2023-11-10 18:57:16,8
1299,1299,82,44,20,12,12,12,12,12,12,12,0,0,0,12,12,0,0,0,2023-11-10 18:59:16,0
1296,1296,98,247,16,176,177,176,48,48,48,47,161,34,39,12,12,25,5,2,2023-11-10 19:01:16,1
1296,1296,164,455,23,333,333,333,80,80,80,80,316,66,82,12,12,52,12,0,2023-11-10 19:03:16,17
